date,open,high,low,close,atr,rsi
27/06/2013,0.84966,0.85604,0.84912,0.8544,0.005141002,54.98227359
28/06/2013,0.8544,0.85903,0.85415,0.85524,0.005120925,56.24676572
01/07/2013,0.85594,0.85907,0.85462,0.8585,0.005069315,60.84359505
02/07/2013,0.8585,0.85941,0.8555,0.85636,0.004980137,56.63701254
03/07/2013,0.8564,0.8575,0.84822,0.8514,0.005310896,48.30157464
04/07/2013,0.8514,0.8633,0.85085,0.85677,0.005860058,55.87347817
05/07/2013,0.85677,0.86295,0.85628,0.86179,0.005922361,61.54380603
08/07/2013,0.86069,0.86275,0.85979,0.8607,0.005694487,59.74848212
09/07/2013,0.8607,0.86691,0.85863,0.85973,0.005893373,58.12353074
10/07/2013,0.85973,0.86522,0.85752,0.86453,0.006032344,63.42452844
11/07/2013,0.86455,0.86942,0.8611,0.86252,0.006208318,59.99942158
12/07/2013,0.86252,0.86545,0.86133,0.86494,0.006047678,62.61697364
15/07/2013,0.86435,0.8665,0.86312,0.86511,0.005842472,62.80112591
16/07/2013,0.86511,0.87072,0.86426,0.86828,0.005889974,66.14970187
17/07/2013,0.86828,0.87108,0.86151,0.86276,0.006173053,56.59583227
18/07/2013,0.86277,0.86468,0.86005,0.86094,0.006054356,53.83504168
19/07/2013,0.86094,0.86296,0.859,0.86088,0.005893252,53.74196795
22/07/2013,0.86021,0.86126,0.85824,0.85843,0.005672233,49.9448645
23/07/2013,0.85847,0.86085,0.85822,0.86047,0.005438215,52.92720752
24/07/2013,0.86047,0.86292,0.85876,0.86193,0.005339891,54.99395389
25/07/2013,0.86193,0.86439,0.85883,0.86276,0.005356822,56.1720436
26/07/2013,0.86276,0.86382,0.86066,0.86307,0.005187836,56.62868821
29/07/2013,0.8631,0.8647,0.86216,0.86465,0.004984156,58.97484704
30/07/2013,0.86465,0.87067,0.86417,0.87038,0.00510076,66.13045354
31/07/2013,0.87038,0.8766,0.87024,0.87466,0.005197624,70.29779228
01/08/2013,0.87466,0.87697,0.868,0.87347,0.005487807,67.7999408
02/08/2013,0.87347,0.87448,0.86777,0.8683,0.005581822,58.13515896
05/08/2013,0.86872,0.86967,0.86311,0.86343,0.005657066,50.79054882
06/08/2013,0.86343,0.86721,0.8619,0.86685,0.005630369,55.08225207
07/08/2013,0.86685,0.87313,0.85787,0.861,0.00637111,47.45788213
08/08/2013,0.861,0.86228,0.85932,0.8611,0.006108717,47.59142584
09/08/2013,0.86111,0.86186,0.85967,0.86065,0.005807277,47.01236374
12/08/2013,0.86042,0.8609,0.85804,0.86018,0.005580563,46.3776539
13/08/2013,0.86018,0.861,0.85354,0.8585,0.005725135,44.08644679
14/08/2013,0.85851,0.85992,0.85282,0.85514,0.005830894,39.84649978
15/08/2013,0.85514,0.85686,0.85053,0.85333,0.005869287,37.74082772
16/08/2013,0.85334,0.85546,0.85238,0.85283,0.005654726,37.15669207
19/08/2013,0.8529,0.85419,0.85123,0.85217,0.00544744,36.35677267
20/08/2013,0.85217,0.85737,0.85172,0.85642,0.005463021,44.62400939
21/08/2013,0.85642,0.85778,0.85098,0.85297,0.005565866,40.0733091
22/08/2013,0.85297,0.85778,0.85258,0.8568,0.005537722,46.58558089
23/08/2013,0.8568,0.86035,0.85417,0.85945,0.005587128,50.58675439
26/08/2013,0.85907,0.86011,0.85773,0.8584,0.005340426,49.01989732
27/08/2013,0.8584,0.86238,0.8581,0.86151,0.005258855,53.60375544
28/08/2013,0.86148,0.86524,0.85723,0.8591,0.005470481,49.86227173
29/08/2013,0.8591,0.85939,0.85294,0.85402,0.005545829,43.04239638
30/08/2013,0.85403,0.85528,0.85195,0.85287,0.005375381,41.65348502
02/09/2013,0.85282,0.85315,0.8472,0.84885,0.005419582,37.14165957
03/09/2013,0.84885,0.84905,0.84462,0.84653,0.00534346,34.79897401
04/09/2013,0.84653,0.84679,0.84265,0.84523,0.005250887,33.52301756
05/09/2013,0.84523,0.84652,0.84083,0.8416,0.005284664,30.19384858
06/09/2013,0.8416,0.84356,0.83921,0.84308,0.005212767,33.11053817
09/09/2013,0.84251,0.84501,0.84103,0.84451,0.005117939,35.89749673
10/09/2013,0.84453,0.84536,0.84232,0.84331,0.004958098,34.59488613
11/09/2013,0.84331,0.84392,0.83833,0.84155,0.005006705,32.71957145
12/09/2013,0.84155,0.84258,0.8393,0.84141,0.004873882,32.56833452
13/09/2013,0.84143,0.84179,0.83568,0.83735,0.004968968,28.45998329
16/09/2013,0.83797,0.83915,0.83711,0.83882,0.004743663,31.813838
17/09/2013,0.83882,0.84114,0.83798,0.8399,0.004621842,34.25257551
18/09/2013,0.8399,0.83994,0.83527,0.83745,0.004625547,31.50019155
19/09/2013,0.83745,0.84428,0.83689,0.844,0.004838197,44.37030472
20/09/2013,0.844,0.84599,0.84218,0.84499,0.004759105,46.02110885
23/09/2013,0.84509,0.84708,0.84034,0.8411,0.004911482,40.88691462
24/09/2013,0.8411,0.84488,0.84096,0.8419,0.004835214,42.31227184
25/09/2013,0.8419,0.84467,0.83981,0.8411,0.00483712,41.2413503
26/09/2013,0.8411,0.84291,0.83945,0.84088,0.004731188,40.9345199
27/09/2013,0.84088,0.84197,0.83622,0.8378,0.004809558,36.8059789
30/09/2013,0.83745,0.83885,0.83403,0.83561,0.004810361,34.16724867
01/10/2013,0.83561,0.83674,0.83327,0.8352,0.004707257,33.68041736
02/10/2013,0.8352,0.83818,0.83342,0.837,0.004711314,37.86613746
03/10/2013,0.837,0.84392,0.83665,0.84293,0.004908136,49.23377337
04/10/2013,0.84293,0.84758,0.84222,0.84679,0.004942895,55.00447266
07/10/2013,0.84632,0.84697,0.84295,0.8437,0.004871903,50.09531964
08/10/2013,0.8437,0.84687,0.84252,0.84393,0.004831756,50.44981283
09/10/2013,0.84393,0.8487,0.84295,0.84773,0.004902391,56.00967744
10/10/2013,0.84773,0.84929,0.84655,0.8467,0.004736053,54.23334748
11/10/2013,0.8467,0.85095,0.84615,0.84899,0.004740972,57.46337718
14/10/2013,0.84935,0.84995,0.84796,0.84848,0.004529359,56.50689217
15/10/2013,0.84848,0.8495,0.84455,0.8454,0.004561716,50.98721665
16/10/2013,0.84537,0.84896,0.84306,0.84844,0.004664661,55.59749501
17/10/2013,0.84844,0.84963,0.84498,0.846,0.004663533,51.41702019
